Frequency PickUp,Voltage PickUp,Pressure,Gear,RPM
218,44,54,3,64
129,35,88,50,189
71,6,62,31,190
96,44,42,25,244
131,16,35,40,232
230,9,9,15,187
164,50,33,0,45
242,6,42,5,22
134,15,17,11,238
298,1,74,21,86
151,22,56,44,181
264,6,58,3,89
213,12,27,5,16
24,18,99,45,228
110,11,73,12,223
134,41,49,18,93
155,25,88,15,110
257,32,73,22,27
2,48,64,9,67
286,9,52,32,77
75,46,21,23,218
29,1,81,18,111
209,49,1,22,49
269,33,85,17,116
282,23,77,46,201
160,13,97,3,129
267,29,95,4,126
290,47,28,37,4
156,3,61,34,225
115,38,77,31,223
167,25,36,9,0
54,48,4,10,179
173,15,4,47,50
240,31,60,48,279
246,8,50,24,53
212,45,16,44,34
187,10,86,2,60
155,35,63,25,32
68,37,1,31,166
27,23,54,39,195
45,44,35,24,66
201,17,12,40,42
233,11,29,40,69
69,16,6,11,154
224,14,56,20,160
151,8,13,18,136
289,46,73,13,111
287,10,39,32,67
255,3,13,38,38
17,9,57,49,249
260,4,82,47,190
75,8,65,39,276
65,46,76,35,201
261,32,66,35,58
224,40,27,29,73
184,5,83,2,152
281,23,32,19,189
77,5,30,4,269
271,28,53,49,142
298,33,6,22,33
131,1,89,50,87
270,19,92,37,107
111,28,18,25,74
256,40,53,7,10
286,7,82,48,191
155,43,14,12,176
19,45,40,36,44
185,40,25,8,271
10,37,11,21,105
216,17,29,12,46
259,46,64,33,223
149,8,24,48,208
114,22,68,24,146
297,29,98,14,274
257,1,100,18,244
245,15,40,24,117
19,31,52,49,150
234,22,80,45,128
231,0,97,44,39
247,16,97,38,171
261,16,63,5,186
92,28,34,9,266
158,26,32,28,26
180,5,88,36,264
278,38,86,38,139
75,25,100,35,70
154,37,0,20,287
148,25,16,22,184
192,17,78,35,25
69,44,86,1,7
77,41,31,35,193
137,37,14,7,78
211,27,24,18,50
75,15,57,7,60
292,28,27,13,100
201,25,29,24,185
292,23,49,33,107
46,30,23,41,59
264,3,96,5,279
138,1,8,27,99
269,27,87,11,135
264,18,64,41,66
31,20,60,12,209
64,30,12,6,252
25,47,14,5,53
282,35,7,18,198
253,43,73,12,216
263,35,19,6,113
158,45,47,14,31
39,44,86,21,27
14,46,10,36,14
244,26,49,30,169
199,10,17,17,130
131,9,12,35,141
192,5,50,36,48
29,16,73,43,139
165,28,19,6,2
22,12,96,23,105
142,44,21,41,189
273,33,0,50,266
30,1,86,38,164
225,33,1,9,283
65,20,16,50,185
175,49,6,33,158
209,15,22,24,218
270,2,61,11,1
3,1,99,7,0
94,44,15,18,91
54,16,38,10,253
108,13,52,38,95
95,1,68,23,115
6,40,76,10,65
265,20,36,47,237
117,42,95,32,103
208,0,18,6,55
195,42,30,39,138
234,50,32,11,70
219,29,37,11,280
11,33,74,47,263
177,8,1,23,14
48,18,81,36,132
272,18,41,37,67
285,10,84,50,281
275,14,70,29,128
266,41,1,3,235
288,5,26,17,180
116,42,69,9,15
192,16,26,21,99
231,45,73,32,268
243,8,80,10,61
28,27,100,49,69
136,22,38,18,203
215,10,96,39,52
0,7,64,20,145
248,39,46,7,202
288,6,39,23,198
49,41,73,20,215
80,29,2,24,188
5,1,70,9,180
126,44,28,5,73
240,11,37,7,278
94,13,38,4,91
13,5,19,47,206
26,50,65,10,284
161,40,14,27,187
279,15,65,0,83
158,12,18,16,166
101,38,23,16,82
45,50,63,12,144
86,17,77,47,48
43,13,70,31,288
113,31,40,49,191
151,32,52,24,153
231,31,64,41,41
138,22,68,4,275
19,17,77,33,169
289,22,26,30,18
80,47,41,3,173
24,47,95,50,141
148,44,40,15,39
171,34,89,19,292
83,23,11,34,221
18,13,73,8,297
136,33,90,39,271
34,49,59,45,56
198,19,28,26,238
252,30,76,14,93
103,18,24,22,35
244,43,21,30,164
18,17,36,30,108
222,12,99,1,46
17,7,63,41,292
113,48,70,47,26
54,4,6,3,28
131,8,53,9,149
209,35,71,48,202
51,23,61,49,158
231,48,55,33,28
50,1,90,27,253
27,27,30,32,34
126,14,44,0,274
203,25,100,26,16
227,50,88,22,55
108,28,87,10,267
26,16,15,29,266
106,32,58,13,75
297,19,7,20,19
263,50,60,9,184
176,43,55,14,98
193,49,73,43,44
162,49,47,12,252
266,16,7,35,168
101,22,55,43,14
149,50,94,0,4
110,45,59,0,269
248,34,22,34,252
37,26,68,38,261
86,48,26,25,99
128,21,3,46,284
250,46,73,32,85
129,4,21,25,79
15,20,38,14,291
141,23,9,50,215
8,27,60,23,93
260,45,32,15,239
279,36,81,20,133
207,11,54,27,203
45,41,29,50,189
64,20,55,13,169
288,50,55,36,176
99,25,58,9,262
89,7,2,17,268
54,42,7,45,215
38,41,71,16,271
150,16,33,42,131
209,49,39,25,80
11,3,71,26,144
20,22,73,1,108
175,40,50,1,176
3,44,91,0,277
260,42,52,5,252
180,45,94,1,58
127,8,54,27,20
61,50,70,4,233
281,13,25,14,202
10,14,56,8,105
183,29,28,26,112
100,48,56,15,32
157,7,6,13,155
26,37,8,8,196
272,38,25,3,127
289,24,7,23,74
147,31,86,20,198
239,40,9,38,217
260,4,38,6,295
282,30,90,48,46
13,50,95,13,245
170,47,47,16,180
10,6,48,46,280
4,18,76,5,143
41,34,82,4,212
200,30,85,19,73
136,39,40,27,289
228,41,36,17,168
196,38,41,50,160
271,15,6,35,19
162,3,21,42,143
87,40,66,21,88
16,44,56,25,258
94,19,36,35,234
82,47,77,35,284
218,46,94,23,255
241,16,78,37,18
163,34,13,14,33
254,42,77,7,295
200,11,21,43,294
101,22,18,29,68
123,31,68,10,299
158,18,34,26,93
93,18,76,29,43
218,46,5,32,63
47,36,0,10,102
271,9,69,15,133
254,22,16,19,168
278,35,77,42,165
65,22,82,46,179
104,43,75,32,217
141,0,36,4,157
134,5,25,15,233
274,25,99,32,29
93,23,19,20,28
295,15,54,15,172
165,13,19,21,283
170,15,91,39,225
36,11,84,29,244
216,20,75,22,56
33,48,50,33,200
132,38,94,14,261
209,6,30,20,179
11,13,19,47,142
224,20,79,7,207
280,15,36,41,101
245,43,89,48,252
111,17,72,42,268
281,9,48,24,224
76,5,2,4,232
179,17,62,38,71
169,4,97,17,169
113,5,42,18,220
268,2,64,49,166
117,43,0,22,223
179,36,2,41,242
31,0,46,1,165
137,45,2,8,229
192,20,41,11,275
279,18,100,15,51
221,5,31,15,216
25,6,41,35,169
167,12,61,2,220
49,17,88,20,48
296,1,36,22,202
266,33,68,5,232
297,1,82,50,210
217,3,67,29,150
118,43,61,10,264
22,36,18,10,193
237,9,66,23,1
222,23,49,47,226
204,20,48,49,283
161,9,46,1,196
268,32,17,20,92
202,8,63,4,165
78,6,62,0,275
236,6,39,21,197
130,20,77,24,126
16,49,0,43,143
240,46,99,35,91
